firma_A	firma_B	firma_C
126,00	135,43	65,43
119,00	134,99	67,06
127,00	134,04	68,91
130,00	133,76	70,80
110,00	136,73	72,26
108,71	136,49	73,63
109,82	139,22	73,64
108,34	138,41	71,74
108,98	137,68	72,89
107,72	140,59	74,32
109,10	143,21	75,57
107,73	145,95	77,37
107,75	145,35	75,70
110,02	145,35	75,96
112,45	145,24	78,04
110,84	148,19	78,28
109,06	146,26	79,41
107,28	144,43	77,45
108,88	144,19	76,04
111,35	142,59	77,11
112,72	142,33	78,72
113,08	141,56	77,00
115,28	139,78	79,03
114,25	142,72	77,54
112,65	141,38	76,08
115,10	141,34	74,11
116,76	140,87	72,23
114,96	139,35	72,24
113,89	141,87	74,19
112,77	140,41	75,75
113,51	138,98	74,11
112,20	137,32	74,75
110,36	136,93	72,89
112,47	136,37	71,26
112,67	136,24	72,92
111,09	134,69	73,63
110,06	137,49	72,04
111,55	135,70	70,16
112,25	134,69	72,24
110,59	133,41	70,25
109,24	136,24	71,67
107,52	136,22	73,10
107,97	135,70	74,36
106,54	134,72	72,81
105,18	133,13	71,02
103,97	131,48	72,37
105,17	131,35	72,58
106,10	131,20	70,73
107,77	130,01	69,03
108,02	129,72	70,00
108,88	128,45	68,27
107,26	128,39	68,97
106,11	127,62	67,49
104,42	127,12	67,79
106,04	129,86	68,91
108,40	128,14	69,81
108,53	127,11	67,84
109,46	125,12	69,35
108,32	123,31	69,71
106,32	123,23	67,77
111,11	126,02	69,61
112,07	124,34	71,64
110,42	122,71	73,26
108,52	122,53	73,27
106,63	122,08	74,29
107,24	124,82	75,55
109,24	123,18	76,38
108,19	121,65	76,71
106,77	120,46	78,13
107,03	118,94	79,71
107,42	121,35	81,35
106,16	119,53	79,41
108,30	122,07	77,70
106,46	121,46	78,58
108,61	121,05	77,02
107,56	119,15	75,13
109,68	117,48	73,45
107,87	120,35	71,93
106,41	119,66	72,96
106,92	117,79	74,28
105,03	116,78	75,78
103,36	115,69	76,88
103,78	114,43	77,36
103,98	116,98	75,79
102,21	115,16	77,34
100,65	117,73	79,17
99,64	116,14	80,76
101,26	114,52	79,02
102,85	117,04	79,25
101,59	116,49	80,26
102,13	115,06	81,26
100,74	117,47	81,64
99,12	120,19	79,85
99,13	122,89	81,54
99,60	122,61	79,87
98,53	122,59	80,00
98,74	125,49	81,01
98,96	127,95	79,17
97,74	126,34	80,29
95,84	128,94	81,60
94,12	131,64	82,75
92,92	134,62	83,09
91,81	134,53	84,09
90,67	137,36	85,17
89,00	136,86	86,00
91,41	136,07	84,14
89,57	134,57	86,19
87,61	134,38	86,34
86,05	132,80	87,75
84,74	131,24	86,13
82,99	129,40	87,39
83,24	128,89	88,80
82,01	131,63	89,88
83,78	130,61	91,83
84,58	129,29	93,53
83,54	128,64	93,72
81,98	126,95	94,47
80,83	129,85	94,65
82,36	132,72	92,86
84,09	131,20	94,21
84,24	130,31	96,18
82,95	129,08	96,18
81,31	131,88	94,72
79,98	134,60	95,97
82,43	137,30	94,21
82,52	136,16	95,42
84,65	138,70	93,76
86,94	141,12	94,56
85,55	139,78	92,73
83,97	139,46	93,24
86,02	137,97	94,61
86,22	140,64	95,66
85,22	140,30	96,73
87,49	140,18	98,18
86,28	138,26	96,62
85,13	136,72	98,19
85,52	136,54	99,72
87,25	135,39	100,95
86,24	134,08	99,54
84,92	133,26	101,54
87,16	132,34	101,73
85,98	135,11	101,74
88,40	135,00	100,01
86,92	133,35	98,39
85,46	132,09	96,49
86,18	131,82	97,95
85,09	134,54	96,33
83,71	137,08	94,86
85,66	136,36	96,17
85,94	134,98	97,44
87,40	133,44	98,68
86,27	132,32	99,99
88,03	132,25	100,81
88,79	134,86	100,92
89,70	133,21	102,29
90,26	131,81	100,76
88,27	131,00	102,48
88,73	130,27	102,72
87,13	128,56	104,60
85,68	127,84	106,69
84,27	127,42	106,85
82,68	127,09	107,25
84,44	126,43	108,44
85,82	126,31	110,27
84,73	129,23	110,94
86,08	128,37	109,26
87,80	128,21	110,98
86,31	130,98	111,80
84,68	130,07	110,07
82,77	129,90	110,79
80,95	129,86	109,17
81,61	128,05	107,31
82,19	130,53	107,72
80,69	130,22	105,87
81,66	129,61	106,22
80,06	128,19	107,40
78,96	127,64	108,01
80,52	126,21	106,27
81,67	124,23	108,33
82,11	123,24	109,22
83,32	126,19	107,37
84,79	129,05	107,76
83,25	128,65	108,37
81,32	126,93	109,22
82,70	129,41	107,78
84,81	129,25	109,71
86,60	129,17	107,74
87,71	127,81	109,77
86,58	130,62	111,27
85,23	129,24	109,41
87,45	128,72	109,72
86,12	128,01	108,19
87,45	127,99	109,68
89,49	126,59	110,39
87,85	125,24	111,28
89,46	123,39	112,56
87,60	122,61	113,15
87,87	122,54	114,21
88,46	121,81	114,89
90,40	124,57	114,91
88,55	123,78	112,97
86,63	126,62	111,12
88,98	125,63	111,44
90,85	124,55	113,24
89,19	123,80	111,26
91,15	123,76	109,56
93,49	122,59	109,82
92,45	121,07	111,61
90,51	119,15	110,11
91,65	122,04	111,72
92,92	120,35	111,85
91,21	119,39	113,24
93,43	118,26	114,79
91,80	117,65	113,20
91,80	116,70	113,27
92,00	119,54	111,75
92,36	117,82	112,97
92,90	116,68	114,74
93,10	116,12	115,57
91,21	114,56	116,87
91,54	114,52	114,98
90,34	117,21	115,04
92,62	115,46	113,31
91,21	118,16	114,96
89,52	120,88	116,80
90,34	119,20	115,36
91,91	121,71	116,53
90,80	121,00	117,96
88,98	119,69	118,03
89,86	117,74	119,61
88,45	115,81	120,03
86,77	115,06	121,42
85,63	117,64	119,78
87,73	116,28	117,80
89,17	116,04	118,56
88,01	115,24	119,36
88,31	114,55	121,42
86,56	114,27	122,84
87,67	113,44	123,27
88,52	112,32	124,11
87,25	111,20	122,69
85,42	113,85	123,41
86,62	112,40	124,95
88,88	110,75	123,43
91,29	113,66	124,69
93,10	116,29	126,35
93,12	115,90	128,30
91,63	115,81	130,11
92,81	118,40	131,28
91,50	117,81	129,41
89,95	116,40	130,46
88,12	115,83	128,50
89,90	115,44	130,22
88,53	114,28	128,71
89,84	112,41	129,20
88,49	111,14	127,53
89,57	110,14	127,70
88,41	109,88	126,09
86,51	109,46	126,84
85,32	109,05	127,17
84,06	108,22	127,26
82,30	108,01	127,33
80,76	106,11	128,84
79,74	109,11	130,11
77,97	107,80	130,80
76,87	107,08	131,66
75,68	106,03	133,33
74,00	108,96	135,00
72,63	111,91	133,07
74,45	110,17	133,78
76,71	112,84	132,02
75,00	111,15	130,40
73,35	109,91	132,28
71,90	109,19	132,39
70,31	108,35	130,94
68,63	107,99	129,53
71,07	110,40	129,55
72,34	108,92	130,43
71,27	111,43	130,89
71,54	109,43	129,18
72,11	108,76	129,96
73,61	107,21	130,33
74,50	107,13	130,64
76,24	109,71	130,78
76,92	109,26	129,14
78,94	108,08	130,85
77,64	107,52	131,24
76,14	107,35	131,37
74,72	105,74	129,88
73,02	105,32	131,79
73,42	103,92	129,98
71,85	103,17	130,77
70,02	102,14	129,31
68,36	101,73	130,67
66,99	100,39	128,88
65,94	98,52	127,10
64,15	101,27	128,56
