id_losowania	data_losowania	nr1	nr2	nr3	nr4	nr5
1023	2013-05-04	12	17	22	26	30
1024	2013-05-06	8	12	15	19	23
1025	2013-05-08	12	14	15	18	22
1026	2013-05-10	1	5	7	9	10
1027	2013-05-12	2	6	9	10	13
1028	2013-05-14	20	22	25	26	28
1029	2013-05-16	2	4	5	7	9
1030	2013-05-18	6	8	11	15	16
1031	2013-05-20	12	14	16	17	21
1032	2013-05-22	11	12	14	18	19
1033	2013-05-24	15	18	23	25	29
1034	2013-05-26	17	22	26	27	28
1035	2013-05-28	1	6	7	9	14
1036	2013-05-30	19	21	26	27	28
1037	2013-06-01	15	20	24	26	31
1038	2013-06-03	11	13	15	17	22
1039	2013-06-05	3	7	10	12	15
1040	2013-06-07	6	8	9	11	14
1041	2013-06-09	10	12	13	17	21
1042	2013-06-11	10	13	18	20	25
1043	2013-06-13	2	4	6	11	12
1044	2013-06-15	18	23	26	27	31
1045	2013-06-17	6	8	9	11	16
1046	2013-06-19	8	11	13	16	18
1047	2013-06-21	8	9	10	15	19
1048	2013-06-23	17	20	22	27	29
1049	2013-06-25	14	18	20	25	28
1050	2013-06-27	15	18	19	22	27
1051	2013-06-29	15	19	22	26	29
1052	2013-07-01	19	21	26	29	31
1053	2013-07-03	5	9	13	18	19
1054	2013-07-05	9	14	16	17	20
1055	2013-07-07	8	10	11	14	17
1056	2013-07-09	16	21	23	27	31
1057	2013-07-11	7	8	13	15	17
1058	2013-07-13	11	13	15	20	23
1059	2013-07-15	5	7	8	11	16
1060	2013-07-17	3	4	9	10	13
1061	2013-07-19	3	8	11	13	15
1062	2013-07-21	3	8	10	11	12
1063	2013-07-23	11	12	17	21	24
1064	2013-07-25	7	11	15	18	22
1065	2013-07-27	5	9	12	15	18
1066	2013-07-29	17	21	26	28	33
1067	2013-07-31	1	4	6	7	9
1068	2013-08-02	17	18	19	20	21
1069	2013-08-04	5	6	10	13	15
1070	2013-08-06	9	14	19	22	27
1071	2013-08-08	15	20	21	23	28
1072	2013-08-10	4	5	10	11	13
1073	2013-08-12	18	22	27	28	31
1074	2013-08-14	5	10	12	14	18
1075	2013-08-16	10	14	19	21	26
1076	2013-08-18	3	5	6	10	14
1077	2013-08-20	9	10	13	14	18
1078	2013-08-22	4	6	10	12	15
1079	2013-08-24	14	18	22	26	30
1080	2013-08-26	9	12	13	14	19
1081	2013-08-28	19	20	21	22	24
1082	2013-08-30	9	11	16	19	21
1083	2013-09-01	19	22	26	30	32
1084	2013-09-03	9	13	15	16	21
1085	2013-09-05	16	21	24	25	27
1086	2013-09-07	5	6	11	13	14
1087	2013-09-09	18	21	25	27	31
1088	2013-09-11	14	19	23	25	27
1089	2013-09-13	4	9	11	13	15
1090	2013-09-15	11	12	13	16	18
1091	2013-09-17	1	4	6	8	12
1092	2013-09-19	10	12	13	18	19
1093	2013-09-21	20	22	23	28	33
1094	2013-09-23	12	16	19	24	28
1095	2013-09-25	17	18	21	23	26
1096	2013-09-27	18	22	24	28	31
1097	2013-09-29	13	17	21	24	28
1098	2013-10-01	10	12	13	17	19
1099	2013-10-03	13	14	18	20	21
1100	2013-10-05	12	14	17	21	22
1101	2013-10-07	14	17	18	22	24
1102	2013-10-09	11	12	13	16	18
1103	2013-10-11	15	18	23	28	31
1104	2013-10-13	16	17	19	24	26
1105	2013-10-15	16	17	22	24	27
1106	2013-10-17	7	9	12	16	18
1107	2013-10-19	8	12	15	18	21
1108	2013-10-21	16	19	23	26	30
1109	2013-10-23	18	23	24	25	27
1110	2013-10-25	1	6	7	12	15
1111	2013-10-27	6	9	14	18	20
1112	2013-10-29	6	9	11	15	20
1113	2013-10-31	12	17	20	21	23
1114	2013-11-02	10	15	19	21	25
1115	2013-11-04	7	8	13	16	19
1116	2013-11-06	14	17	21	22	23
1117	2013-11-08	13	16	18	21	23
1118	2013-11-10	11	15	17	18	19
1119	2013-11-12	16	20	22	27	28
1120	2013-11-14	16	21	22	26	31
1121	2013-11-16	15	18	21	23	28
1122	2013-11-18	5	8	11	13	16
1123	2013-11-20	4	8	9	14	19
1124	2013-11-22	7	12	14	15	17
1125	2013-11-24	9	12	14	17	21
1126	2013-11-26	4	6	9	12	17
1127	2013-11-28	11	16	18	21	23
1128	2013-11-30	15	19	22	27	30
1129	2013-12-02	17	18	23	25	29
1130	2013-12-04	2	3	7	9	11
1131	2013-12-06	2	3	7	12	17
1132	2013-12-08	3	7	9	11	12
1133	2013-12-10	16	17	22	27	31
1134	2013-12-12	7	8	9	11	12
1135	2013-12-14	18	20	22	26	27
1136	2013-12-16	9	13	14	15	16
1137	2013-12-18	10	11	12	14	15
1138	2013-12-20	20	24	25	28	31
1139	2013-12-22	17	20	24	27	28
1140	2013-12-24	1	3	7	11	12
1141	2013-12-26	19	24	26	29	34
1142	2013-12-28	19	20	24	28	33
1143	2013-12-30	12	13	17	20	25
1144	2014-01-01	5	6	10	13	14
1145	2014-01-03	16	20	21	23	26
1146	2014-01-05	3	5	6	9	14
1147	2014-01-07	18	19	22	23	27
1148	2014-01-09	3	7	11	16	20
1149	2014-01-11	7	9	14	18	23
1150	2014-01-13	3	6	9	11	14
1151	2014-01-15	4	7	12	16	21
1152	2014-01-17	8	10	14	17	18
1153	2014-01-19	2	3	6	9	10
1154	2014-01-21	17	21	23	28	31
1155	2014-01-23	20	22	27	28	32
1156	2014-01-25	15	18	23	25	28
1157	2014-01-27	16	17	19	20	21
1158	2014-01-29	10	11	14	16	18
1159	2014-01-31	16	18	20	25	26
1160	2014-02-02	15	16	17	20	24
1161	2014-02-04	11	16	17	19	22
1162	2014-02-06	13	16	18	23	24
1163	2014-02-08	19	20	23	28	29
1164	2014-02-10	10	14	18	21	24
1165	2014-02-12	19	22	25	30	33
1166	2014-02-14	3	4	8	9	11
1167	2014-02-16	15	16	21	23	26
1168	2014-02-18	3	4	7	12	17
1169	2014-02-20	5	8	9	13	17
1170	2014-02-22	14	19	20	25	27
1171	2014-02-24	1	6	11	12	13
1172	2014-02-26	19	20	25	27	31
1173	2014-02-28	14	18	21	24	25
1174	2014-03-02	4	6	7	10	11
1175	2014-03-04	6	7	8	13	17
1176	2014-03-06	17	18	21	23	28
1177	2014-03-08	17	20	21	23	26
1178	2014-03-10	16	19	21	22	27
1179	2014-03-12	17	20	24	26	30
1180	2014-03-14	6	9	12	14	19
1181	2014-03-16	10	13	17	20	21
1182	2014-03-18	6	9	14	18	21
1183	2014-03-20	17	22	26	28	30
1184	2014-03-22	11	13	15	19	21
1185	2014-03-24	16	17	18	22	27
1186	2014-03-26	9	12	14	16	21
1187	2014-03-28	3	6	7	9	13
1188	2014-03-30	17	18	19	24	25
1189	2014-04-01	4	7	9	12	17
1190	2014-04-03	6	10	14	18	23
1191	2014-04-05	17	21	25	30	33
1192	2014-04-07	11	13	16	21	22
1193	2014-04-09	3	7	8	13	14
1194	2014-04-11	18	22	25	27	28
