id_losowania	id_punktu
1023	6
1024	41
1025	3
1026	60
1027	56
1028	5
1030	86
1031	79
1032	53
1033	22
1034	1
1035	86
1036	40
1037	31
1038	6
1039	28
1040	22
1041	85
1042	31
1044	24
1045	45
1046	90
1047	51
1048	29
1049	46
1050	2
1051	50
1052	99
1053	33
1054	7
1055	28
1056	14
1057	61
1058	68
1059	87
1060	14
1061	65
1062	59
1063	22
1064	27
1065	51
1066	63
1067	94
1068	70
1069	46
1070	27
1071	46
1072	1
1073	46
1074	75
1075	78
1076	87
1077	70
1078	20
1079	52
1080	43
1081	89
1082	55
1083	87
1084	85
1085	49
1086	72
1087	77
1088	13
1089	83
1090	18
1091	52
1092	2
1093	82
1094	14
1095	45
1096	64
1097	39
1099	25
1100	99
1101	12
1102	69
1103	16
1104	95
1106	30
1106	79
1107	53
1108	66
1109	12
1110	45
1111	100
1112	17
1113	55
1114	49
1115	100
1116	65
1117	70
1118	63
1119	48
1120	18
1120	33
1120	91
1121	14
1122	25
1123	33
1124	39
1125	29
1126	46
1127	25
1128	100
1129	72
1130	2
1131	21
1132	27
1133	34
1134	12
1135	65
1136	14
1137	58
1137	88
1138	56
1139	3
1140	28
1141	18
1141	25
1142	52
1143	2
1144	50
1145	50
1145	53
1146	8
1147	18
1148	81
1149	58
1150	26
1151	17
1152	69
1153	41
1154	79
1155	72
1156	31
1157	54
1158	62
1159	60
1160	9
1161	70
1162	32
1162	97
1163	20
1163	60
1164	81
1165	74
1166	12
1167	67
1168	83
1169	60
1170	42
1171	20
1172	38
1173	11
1174	70
1174	77
1175	31
1176	56
1177	15
1177	40
1178	24
1179	23
1180	84
1181	15
1182	98
1183	16
1184	51
1185	30
1186	93
1187	31
1187	86
1188	71
1189	54
1190	83
1191	1
1192	13
1193	27
1194	36
1195	62
1195	70
1196	97
1197	75
1198	78
1199	43
1200	71
1201	64
1202	63
1203	46
1204	61
1205	72
1207	43
1207	46
1207	82
1209	70
1210	37
1211	23
1211	72
1213	53
1214	88
1215	76
1216	79
1216	97
1217	51
1218	8
1219	57
1220	7
1221	66
1222	69
1223	81
1224	25
1225	96
1226	1
1227	76
1228	56
1229	99
1230	10
1231	92
1232	80
